period_5y,l0_domain,reference_l3,relative_gap_l3,absolute_gap_l3,strong_underrep_l3,moderate_underrep_l3,mean_gap_strength,relative_gap_share
1992-1996,Policy,475,463,462,0,1,0.9750243197176311,0.9747368421052631
1992-1996,Science,874,569,569,0,0,0.6832780671619659,0.6510297482837528
1992-1996,Technology,589,390,286,0,104,0.6273258357132556,0.6621392190152802
1997-2001,Policy,475,435,435,0,0,0.9174428388978565,0.9157894736842105
1997-2001,Science,874,561,417,0,144,0.6202266791195011,0.6418764302059496
1997-2001,Technology,589,349,135,128,86,0.5475803686927024,0.5925297113752123
2002-2006,Policy,475,433,430,0,3,0.9101351957893971,0.911578947368421
2002-2006,Science,874,553,255,170,128,0.58712460905839,0.6327231121281465
2002-2006,Technology,589,303,82,112,109,0.49698637751673713,0.5144312393887945
2007-2011,Policy,475,406,401,3,2,0.8567156542316681,0.8547368421052631
2007-2011,Science,874,532,195,227,110,0.5684269587152251,0.6086956521739131
2007-2011,Technology,589,306,58,144,104,0.47835763682534393,0.5195246179966044
2012-2016,Policy,475,397,368,10,19,0.8328022421977826,0.8357894736842105
2012-2016,Science,874,533,146,266,121,0.5655995199988745,0.6098398169336384
2012-2016,Technology,589,305,20,165,120,0.46318725313471715,0.5178268251273345
2017-2021,Policy,475,292,191,33,68,0.6243992380383241,0.6147368421052631
2017-2021,Science,874,544,77,338,129,0.5672454143653074,0.6224256292906178
2017-2021,Technology,589,303,0,182,121,0.46158966093433734,0.5144312393887945
2022-2026,Policy,475,413,204,115,94,0.7982781196714301,0.8694736842105263
2022-2026,Science,874,545,63,374,108,0.5761636408023998,0.6235697940503433
2022-2026,Technology,589,291,2,159,130,0.43577894287057983,0.4940577249575552
